rank,title,year,linkMeta,rating,duration,genre,metadate,summarytext,creditsInfo
27.,Sen to Chihiro no kamikakushi,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,3h15min,Crime,"['2h', '41min', '|', 'Western', '|', '23', 'December', '1966', '(Italy)']",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001466/?ref_=tt_ov_dr"">Sergio Leone</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0898812/?ref_=tt_ov_wr"">Luciano Vincenzoni</a> (story), <a href=""/name/nm0001466/?ref_=tt_ov_wr"">Sergio Leone</a> (story)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">4 more credits</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000142/?ref_=tt_ov_st_sm"">Clint Eastwood</a>, <a href=""/name/nm0908919/?ref_=tt_ov_st_sm"">Eli Wallach</a>, <a href=""/name/nm0001812/?ref_=tt_ov_st_sm"">Lee Van Cleef</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
28.,Saving Private Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.5,2h22min,Drama,"['A', '|', '2h', '22min', '|', 'Drama', '|', '14', 'October', '1994', '(USA)']","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001104/?ref_=tt_ov_dr"">Frank Darabont</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0000175/?ref_=tt_ov_wr"">Stephen King</a> (short story ""Rita Hayworth and Shawshank Redemption""), <a href=""/name/nm0001104/?ref_=tt_ov_wr"">Frank Darabont</a> (screenplay)    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000209/?ref_=tt_ov_st_sm"">Tim Robbins</a>, <a href=""/name/nm0000151/?ref_=tt_ov_st_sm"">Morgan Freeman</a>, <a href=""/name/nm0348409/?ref_=tt_ov_st_sm"">Bob Gunton</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
29.,Léon,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,2h55min,Crime,"['A', '|', '2h', '55min', '|', 'Crime', ',', 'Drama', '|', '24', 'March', '1972', '(USA)']",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0000338/?ref_=tt_ov_dr"">Francis Ford Coppola</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0701374/?ref_=tt_ov_wr"">Mario Puzo</a> (screenplay by), <a href=""/name/nm0000338/?ref_=tt_ov_wr"">Francis Ford Coppola</a> (screenplay by)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">1 more credit</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000008/?ref_=tt_ov_st_sm"">Marlon Brando</a>, <a href=""/name/nm0000199/?ref_=tt_ov_st_sm"">Al Pacino</a>, <a href=""/name/nm0001001/?ref_=tt_ov_st_sm"">James Caan</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
30.,The Green Mile,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.5,2h30min,Drama,"['3h', '22min', '|', 'Crime', ',', 'Drama', '|', '20', 'December', '1974', '(USA)']","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0000338/?ref_=tt_ov_dr"">Francis Ford Coppola</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0000338/?ref_=tt_ov_wr"">Francis Ford Coppola</a> (screenplay by), <a href=""/name/nm0701374/?ref_=tt_ov_wr"">Mario Puzo</a> (screenplay by)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">1 more credit</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000199/?ref_=tt_ov_st_sm"">Al Pacino</a>, <a href=""/name/nm0000134/?ref_=tt_ov_st_sm"">Robert De Niro</a>, <a href=""/name/nm0000380/?ref_=tt_ov_st_sm"">Robert Duvall</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
31.,Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.5,2h32min,Action,"['UA', '|', '2h', '32min', '|', 'Action', ',', 'Crime', ',', 'Drama', '|', '18', 'July', '2008', '(India)']","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0634240/?ref_=tt_ov_dr"">Christopher Nolan</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0634300/?ref_=tt_ov_wr"">Jonathan Nolan</a> (screenplay), <a href=""/name/nm0634240/?ref_=tt_ov_wr"">Christopher Nolan</a> (screenplay)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">3 more credits</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000288/?ref_=tt_ov_st_sm"">Christian Bale</a>, <a href=""/name/nm0005132/?ref_=tt_ov_st_sm"">Heath Ledger</a>, <a href=""/name/nm0001173/?ref_=tt_ov_st_sm"">Aaron Eckhart</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
32.,Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,2h15min,Drama,"['1h', '36min', '|', 'Crime', ',', 'Drama', '|', 'April', '1957', '(USA)']",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001486/?ref_=tt_ov_dr"">Sidney Lumet</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0741627/?ref_=tt_ov_wr"">Reginald Rose</a> (story), <a href=""/name/nm0741627/?ref_=tt_ov_wr"">Reginald Rose</a> (screenplay)    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000020/?ref_=tt_ov_st_sm"">Henry Fonda</a>, <a href=""/name/nm0002011/?ref_=tt_ov_st_sm"">Lee J. Cobb</a>, <a href=""/name/nm0000842/?ref_=tt_ov_st_sm"">Martin Balsam</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
33.,American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,3h15min,Biography,"['A', '|', '3h', '15min', '|', 'Biography', ',', 'Drama', ',', 'History', '|', '4', 'February', '1994', '(USA)']","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0000229/?ref_=tt_ov_dr"">Steven Spielberg</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0447745/?ref_=tt_ov_wr"">Thomas Keneally</a> (book), <a href=""/name/nm0001873/?ref_=tt_ov_wr"">Steven Zaillian</a> (screenplay)    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000553/?ref_=tt_ov_st_sm"">Liam Neeson</a>, <a href=""/name/nm0000146/?ref_=tt_ov_st_sm"">Ralph Fiennes</a>, <a href=""/name/nm0001426/?ref_=tt_ov_st_sm"">Ben Kingsley</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
34.,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.5,3h21min,Action,"['PG-13', '|', '3h', '21min', '|', 'Action', ',', 'Adventure', ',', 'Drama', '|', '6', 'February', '2004', '(India)']",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001392/?ref_=tt_ov_dr"">Peter Jackson</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0866058/?ref_=tt_ov_wr"">J.R.R. Tolkien</a> (novel), <a href=""/name/nm0909638/?ref_=tt_ov_wr"">Fran Walsh</a> (screenplay)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">2 more credits</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000704/?ref_=tt_ov_st_sm"">Elijah Wood</a>, <a href=""/name/nm0001557/?ref_=tt_ov_st_sm"">Viggo Mortensen</a>, <a href=""/name/nm0005212/?ref_=tt_ov_st_sm"">Ian McKellen</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
35.,Once Upon a Time in the West,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.5,2h34min,Crime,"['A', '|', '2h', '34min', '|', 'Crime', ',', 'Drama', '|', '14', 'October', '1994', '(USA)']","The lives of two mob hit-men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0000233/?ref_=tt_ov_dr"">Quentin Tarantino</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0000233/?ref_=tt_ov_wr"">Quentin Tarantino</a> (stories), <a href=""/name/nm0000812/?ref_=tt_ov_wr"">Roger Avary</a> (stories)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">1 more credit</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000237/?ref_=tt_ov_st_sm"">John Travolta</a>, <a href=""/name/nm0000235/?ref_=tt_ov_st_sm"">Uma Thurman</a>, <a href=""/name/nm0000168/?ref_=tt_ov_st_sm"">Samuel L. Jackson</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
36.,Casablanca,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.5,3h15min,Crime,"['2h', '41min', '|', 'Western', '|', '23', 'December', '1966', '(Italy)']",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001466/?ref_=tt_ov_dr"">Sergio Leone</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0898812/?ref_=tt_ov_wr"">Luciano Vincenzoni</a> (story), <a href=""/name/nm0001466/?ref_=tt_ov_wr"">Sergio Leone</a> (story)            <span class=""ghost"">|</span>
<a href=""fullcredits?ref_=tt_ov_wr#writers/"">4 more credits</a> »
    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000142/?ref_=tt_ov_st_sm"">Clint Eastwood</a>, <a href=""/name/nm0908919/?ref_=tt_ov_st_sm"">Eli Wallach</a>, <a href=""/name/nm0001812/?ref_=tt_ov_st_sm"">Lee Van Cleef</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
37.,Modern Times,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5,2h22min,Drama,"['A', '|', '2h', '22min', '|', 'Drama', '|', '14', 'October', '1994', '(USA)']","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","[<div class=""credit_summary_item"">
<h4 class=""inline"">Director:</h4>
<a href=""/name/nm0001104/?ref_=tt_ov_dr"">Frank Darabont</a> </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Writers:</h4>
<a href=""/name/nm0000175/?ref_=tt_ov_wr"">Stephen King</a> (short story ""Rita Hayworth and Shawshank Redemption""), <a href=""/name/nm0001104/?ref_=tt_ov_wr"">Frank Darabont</a> (screenplay)    </div>, <div class=""credit_summary_item"">
<h4 class=""inline"">Stars:</h4>
<a href=""/name/nm0000209/?ref_=tt_ov_st_sm"">Tim Robbins</a>, <a href=""/name/nm0000151/?ref_=tt_ov_st_sm"">Morgan Freeman</a>, <a href=""/name/nm0348409/?ref_=tt_ov_st_sm"">Bob Gunton</a> <span class=""ghost"">|</span>
<a href=""fullcredits/?ref_=tt_ov_st_sm"">See full cast &amp; crew</a> »
    </div>]"
